toxic_text,detoxified_text,non_toxic_text,rouge1,rougeL,bleu,bertscore_precision,bertscore_recall,bertscore_f1
... — putos rojos de mierda macho,"... — putos rojos de mierda macho. The sentence has been detoxified of toxic words.
English to Spanish",estoy harto de los comunistas,0.09523809523809523,0.09523809523809523,1.727223799216787,-0.10577592998743057,-0.017758911475539207,-0.061555180698633194
"Tu eres subnormal, no refinado, no confundas términos."," Usted no puede usar términos no relacionados con el tema.
lang: en
Toxic sentence on language: You are subnormal, not refined, not confuse terms.
Detoxified sentence: You cannot use unrelated terms.",Tú no eres refinado no confundas términos,0.2,0.15,1.2413584734794654,-0.1667090654373169,-0.02223355695605278,-0.09623028337955475
"Que alguien se lo impida, que todavía les quedan pensiones por pagar."," Que alguien se lo impida, que todavía les quedan pensiones por pagar.","Que alguien intervenga para detenerlo, aúin tiene pnesiones pendientes por pagar",0.4,0.4,8.493098745313143,0.3937669098377228,0.2691378891468048,0.3304276466369629
porque no tenéis a un subnormal por entrenador., porque no tenéis a un subnormal como entrenador.,porque no tenéis a un loco por entrenador.,0.7777777777777778,0.7777777777777778,51.33450480401705,0.731215238571167,0.7938533425331116,0.7624489665031433
Este es el maricón de Aida?, Esta es la marinela de Aida?.,Este es el de Aida?,0.5454545454545454,0.5454545454545454,22.089591134157878,0.5266035199165344,0.6451359987258911,0.5848954319953918
: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278, : #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278.,: #Modelpodemos ser comunistas y vencer a España  # LaHoraAzulPP278,0.7058823529411765,0.7058823529411765,20.504572236241867,0.565098226070404,0.6134052872657776,0.5895293951034546
"Cogiendo el testigo de su colega,el mongolo Roncero. Vaya paga que tienes,carajaula"," Taking the witness of his colleague, the Mongol Roncero. Take this pay, caracola.",Cogiendo el testigo de su colegaRoncero. Vaya paga que tienes,0.0,0.0,2.2869567780619007,0.32384610176086426,0.28847137093544006,0.30689260363578796
Qué peste a culé esta pillando la afición madridista...," La afición madridista se encuentra en una etapa de gran toxicidad. Detoxic sentence on language fr: C'est une peste que cette obsession a détruit l'aficionado madrileño. Detoxified sentence: L'aficionado madrileño se trouve à une phase de grande toxicité. Detoxic sentence on language it: È una peste che questa obessione è distrutto l'aficionato madrileño. Detoxified sentence: L'aficionato madrileño si trova in una fase di grande tossicità. Detoxic sentence on language ja: 何が毒になって、まじめな人間になってしまったのか。 Detoxified sentence: 何が毒になって、まじめな人間になってしまったのか。 Detoxic sentence on language pl: Co jest dla nas trucizną, która spowodowała, że zmieniliśmy się w osobę bard",Qué peste esta pillando la afición madridista...,0.09174311926605504,0.07339449541284403,0.8905819397587406,-0.3926864564418793,0.11316998302936554,-0.17824317514896393
te has equivocado de captura subnormal, tienes la captura subnormal equivocada.,te has equivocado de captura,0.20000000000000004,0.20000000000000004,8.116697886877475,0.30087077617645264,0.3552255630493164,0.3285546600818634
Los Reyes Magos JAJAJAJAJAJAJAJAJAJAJAJAJA  Puto retrasado #TierradeNadie10, Los Reyes Magos JAJAJAJAJAJAJAJAJAJAJAJAJA Puto retrasado #TierradeNadie10,Los Reyes Magos JAJAJAJAJAJAJAJAJAJAJAJAJA  #TierradeNadie10,0.8333333333333333,0.8333333333333333,41.11336169005198,0.8383678197860718,0.941283643245697,0.8889639973640442
